TIME_STAMP,SNAKE_X,SNAKE_Y,FOOD_X,FOOD_Y,INPUT_BUTTON,SCORE
118,3.0,7.0,2.0,5.0,3,9
121,6.0,7.0,2.0,5.0,0,9
123,6.0,5.0,2.0,5.0,2,9
127,2.0,5.0,4.0,3.0,1,10
129,2.0,7.0,4.0,3.0,3,10
133,6.0,7.0,4.0,3.0,0,10
138,6.0,2.0,4.0,3.0,2,10
140,4.0,2.0,4.0,3.0,1,10
146,4.0,8.0,8.0,4.0,3,11
149,7.0,8.0,8.0,4.0,0,11
153,7.0,4.0,8.0,4.0,2,11
158,2.0,4.0,8.0,4.0,0,11
159,2.0,3.0,8.0,4.0,3,11
165,8.0,3.0,8.0,4.0,1,11
169,8.0,7.0,1.0,4.0,2,12
175,2.0,7.0,1.0,4.0,0,12
180,2.0,2.0,1.0,4.0,3,12
183,5.0,2.0,1.0,4.0,1,12
185,5.0,4.0,1.0,4.0,2,12
189,1.0,4.0,1.0,8.0,1,13
194,1.0,9.0,8.0,7.0,-1,14
